Iteración, tamaño, formato, id, enviadas, recibidas
1, 0,.png, -2140312853, 480, 480
1, 0,.png, -1605005962, 474, 474
1, 0,.png, -1058726667, 481, 481
1, 0,.png, -1117693434, 478, 478
1, 0,.png, -2086632059, 466, 466
1, 0,.png, -617712550, 473, 473
1, 0,.png, 780774009, 476, 476
1, 0,.png, 158292894, 470, 470
1, 0,.png, 258829036, 445, 445
1, 0,.png, -2093688933, 458, 458
1, 0,.png, -385247655, 449, 449
1, 0,.png, 1956011214, 452, 452
1, 0,.png, 1611699623, 438, 438
1, 0,.png, 783139087, 451, 451
1, 0,.png, 110185769, 471, 471
1, 0,.png, 1933609459, 472, 472
1, 0,.png, -878289017, 459, 459
1, 0,.png, 1541343222, 462, 462
1, 0,.png, -1234176331, 450, 450
1, 0,.png, 2146078647, 478, 478
1, 0,.png, -259167818, 482, 482
1, 0,.png, -2033828902, 483, 483
1, 0,.png, -1590788116, 463, 463
1, 0,.png, -1277090421, 435, 435
1, 0,.png, 508112533, 451, 451
1, 0,.png, -1333395438, 476, 476
1, 0,.png, 1475093469, 468, 468
2, 5,.jpg, -939267565, 53, 52
2, 5,.jpg, 337574462, 54, 53
2, 5,.jpg, 860730332, 51, 50
2, 5,.jpg, -2078459873, 52, 50
2, 5,.jpg, 2063051503, 44, 42
2, 5,.jpg, -320517050, 53, 52
2, 5,.jpg, -1679279499, 43, 42
2, 5,.jpg, -1768390666, 53, 52
2, 5,.jpg, -734777312, 47, 46
2, 5,.jpg, 1460200495, 45, 44
2, 5,.jpg, -1630282539, 53, 52
